index,Intercept,Slope,Curvature,Lambda,Residuals
2022-09-26,0.03917065157865112,-0.015369901252275588,0.03461759856585272,0.46395144603245586,7.454838024588745e-06
2022-09-27,0.04016281461336564,-0.016362879924462045,0.03192807873708631,0.4642149016580658,6.293859474167475e-06
2022-09-28,0.0379074648155269,-0.016473795938368334,0.03152283680718053,0.3226616273709864,6.806519987331471e-06
2022-09-29,0.037641211275154435,-0.012383672222908607,0.030841938641929512,0.4842703508107578,7.620288540814623e-06
2022-09-30,0.03831293236103937,-0.013182332803725327,0.03179967753040374,0.49625982898994275,6.960181073895641e-06
2022-10-01,0.03831293236103937,-0.013182332803725327,0.03179967753040374,0.49625982898994275,6.960181073895641e-06
2022-10-02,0.03831293236103937,-0.013182332803725327,0.03179967753040374,0.49625982898994275,6.960181073895641e-06
2022-10-03,0.03677147297622414,-0.011367864949568842,0.03262303994818808,0.4278193275450924,7.285811510248819e-06
2022-10-04,0.03551292826838691,-0.009970961909868122,0.03723796588461029,0.47437600455912826,2.900421678328822e-06
2022-10-05,0.037451421411877635,-0.012431168414848932,0.03387219806390822,0.4286297327541722,3.865513521985371e-06
2022-10-06,0.037831587425322936,-0.010277432691465306,0.03208604922044054,0.5199131275984794,3.8907650234040135e-06
2022-10-07,0.0385527256343779,-0.011327091258363921,0.03342502458908175,0.5255869858675114,5.3830004936336916e-06
2022-10-08,0.0385527256343779,-0.011327091258363921,0.03342502458908175,0.5255869858675114,5.3830004936336916e-06
2022-10-09,0.0385527256343779,-0.011327091258363921,0.03342502458908175,0.5255869858675114,5.3830004936336916e-06
2022-10-10,0.0385527256343779,-0.011327091258363921,0.03342502458908175,0.5255869858675114,5.3830004936336916e-06
2022-10-11,0.03956138464819433,-0.012930681662972402,0.03165587588151643,0.38465752209476156,3.929024778423335e-06
2022-10-12,0.039351630818435075,-0.012735517280601067,0.03179714398218633,0.3744979778365801,3.7582772368200428e-06
2022-10-13,0.03891058477678922,-0.008296917612615778,0.03481845745044018,0.5427164879358364,3.032220747957432e-06
2022-10-14,0.039490585996554195,-0.00957081520252306,0.035363172457614875,0.5057127839459574,3.1373654701525076e-06
2022-10-15,0.039490585996554195,-0.00957081520252306,0.035363172457614875,0.5057127839459574,3.1373654701525076e-06
2022-10-16,0.039490585996554195,-0.00957081520252306,0.035363172457614875,0.5057127839459574,3.1373654701525076e-06
2022-10-17,0.04029128750058075,-0.011482033440483673,0.03466662818626773,0.37988512729285706,4.0945783839774275e-06
2022-10-18,0.04034504970685996,-0.012793857217628471,0.03587673494455765,0.32712657534086176,4.883412922696195e-06
2022-10-19,0.04171409965507342,-0.013631774878182781,0.0355722728287122,0.3363302536941602,5.341825969755199e-06
2022-10-20,0.042231347541410516,-0.009626312638270905,0.03081965411424145,0.4524583206954691,3.843832417162014e-06
2022-10-21,0.04198707120215407,-0.010550939395764371,0.02851954959820567,0.3611121233563195,2.7119586492752534e-06
2022-10-22,0.04198707120215407,-0.010550939395764371,0.02851954959820567,0.3611121233563195,2.7119586492752534e-06
2022-10-23,0.04198707120215407,-0.010550939395764371,0.02851954959820567,0.3611121233563195,2.7119586492752534e-06
2022-10-24,0.042385837469014455,-0.011343549965770378,0.028987601989379462,0.32328505419075754,1.7601290292626942e-06
2022-10-25,0.04071006207750727,-0.009575257494383411,0.03236015284150546,0.35311947997805526,2.4497548578220657e-06
2022-10-26,0.040171340576415554,-0.00872635659373799,0.03164289281751287,0.3610200442735627,2.2610308773672736e-06
2022-10-27,0.03886136097531362,-0.004132579430111851,0.027504771374739962,0.41656287776285456,1.1163004090425042e-06
2022-10-28,0.03966380657526382,-0.005196028670698288,0.028974575352373688,0.42044363114454875,1.5984859831550256e-06
2022-10-29,0.03966380657526382,-0.005196028670698288,0.028974575352373688,0.42044363114454875,1.5984859831550256e-06
2022-10-30,0.03966380657526382,-0.005196028670698288,0.028974575352373688,0.42044363114454875,1.5984859831550256e-06
2022-10-31,0.040346049224728946,-0.006169614773558527,0.03119227474164266,0.42398716840401446,1.0235719702756828e-06
2022-11-01,0.039866170002206526,-0.005813165611614819,0.03443369675824189,0.45426273324005245,1.0527908639992347e-06
2022-11-02,0.039988974283998696,-0.005821483722158111,0.035255871748259136,0.4826986583786225,1.285230145909884e-06
2022-11-03,0.040058814602408704,-0.004703551333985911,0.03510528843710725,0.5673175042316846,1.5800615879669773e-06
2022-11-04,0.040510535264352866,-0.0058162771984847355,0.03359320759918644,0.5146615875547724,8.409305825264701e-07
2022-11-05,0.040510535264352866,-0.0058162771984847355,0.03359320759918644,0.5146615875547724,8.409305825264701e-07
2022-11-06,0.040510535264352866,-0.0058162771984847355,0.03359320759918644,0.5146615875547724,8.409305825264701e-07
2022-11-07,0.04104914073884802,-0.005873946270659597,0.03366308654902132,0.5124364642929291,1.0788516874388066e-06
2022-11-08,0.04033780859302283,-0.0065760246612169065,0.03625606792500897,0.46072801792290696,1.9277014666279252e-06
2022-11-09,0.040329077340802634,-0.006996325374939473,0.035645587585882134,0.4179090755523124,1.7797065127222775e-06
2022-11-10,0.03703007012675749,-0.003378145264662938,0.03634083999123909,0.3955873528535396,7.788464701800655e-07
2022-11-11,0.03703007012675749,-0.003378145264662938,0.03634083999123909,0.3955873528535396,7.788464701800655e-07
2022-11-12,0.03703007012675749,-0.003378145264662938,0.03634083999123909,0.3955873528535396,7.788464701800655e-07
2022-11-13,0.03703007012675749,-0.003378145264662938,0.03634083999123909,0.3955873528535396,7.788464701800655e-07
2022-11-14,0.03766703403511942,-0.0037567807903188194,0.03623718507605102,0.39505284635552307,1.6134319068127309e-06
2022-11-15,0.036718622767689064,-0.001921417233313755,0.0359334599962951,0.4146771356360154,1.0061073670146098e-06
2022-11-16,0.03504789257680475,0.0005882727094514062,0.038182135046294884,0.4581987631347043,1.3116200211340802e-06
2022-11-17,0.035884209404205294,0.0012735913975493332,0.03511156463313982,0.5104051442784467,5.028877871825606e-07
2022-11-18,0.036268176699772316,0.000914581410719594,0.03635467836576308,0.5239247348190882,6.580842804279246e-07
2022-11-19,0.036268176699772316,0.000914581410719594,0.03635467836576308,0.5239247348190882,6.580842804279246e-07
2022-11-20,0.036268176699772316,0.000914581410719594,0.03635467836576308,0.5239247348190882,6.580842804279246e-07
2022-11-21,0.03648186436907281,0.0009906389585830598,0.03599236930827319,0.5066659670410929,1.1638050597982752e-06
2022-11-22,0.03552585685354258,0.0017486552024904842,0.038918855694124996,0.5080937088420641,7.223271578202173e-07
2022-11-23,0.03469922800373139,0.004366374989657475,0.035772542110055115,0.5675099841746688,3.849294552906938e-07
2022-11-24,0.03469922800373139,0.004366374989657475,0.035772542110055115,0.5675099841746688,3.849294552906938e-07
2022-11-25,0.03439490997338613,0.005109276956412677,0.03530061658384321,0.5628640515026021,5.699080750655793e-07
2022-11-26,0.03439490997338613,0.005109276956412677,0.03530061658384321,0.5628640515026021,5.699080750655793e-07
2022-11-27,0.03439490997338613,0.005109276956412677,0.03530061658384321,0.5628640515026021,5.699080750655793e-07
2022-11-28,0.034607070888118575,0.0041272379491385115,0.03745876850049187,0.5445446877094954,3.9795441680555874e-07
2022-11-29,0.035277186287635764,0.0029097587957139974,0.03754798454684116,0.5293537813173109,4.69002196260242e-07
2022-11-30,0.03460360224297977,0.003189628704887597,0.038326083225266816,0.4839143159842561,5.633412838636442e-07
2022-12-01,0.03312212603842959,0.00437611419083611,0.03903816447473894,0.4668077018241569,6.515149591374814e-07
2022-12-02,0.03292826098219257,0.0032323322944446445,0.043051060704951044,0.45118478894443853,8.584417036316009e-07
2022-12-03,0.03292826098219257,0.0032323322944446445,0.043051060704951044,0.45118478894443853,8.584417036316009e-07
2022-12-04,0.03292826098219257,0.0032323322944446445,0.043051060704951044,0.45118478894443853,8.584417036316009e-07
2022-12-05,0.03387736894402167,0.0023665263933035216,0.044105223426401795,0.4722947841548864,6.092650312425962e-07
2022-12-06,0.033107633468886975,0.0020938199033229076,0.046786373973792886,0.447703170904074,4.5946555221350237e-07
2022-12-07,0.03212244501727045,0.0016487665041450012,0.0495876284427251,0.42666741932401275,7.631422918288458e-07
2022-12-08,0.03299479845034375,0.00048120672732560824,0.04924463297731451,0.42784509989904146,8.525844277529566e-07
2022-12-09,0.033836454233250754,0.0002714378032737048,0.04673858982516376,0.422382592455237,5.441284917169821e-07
2022-12-10,0.033836454233250754,0.0002714378032737048,0.04673858982516376,0.422382592455237,5.441284917169821e-07
2022-12-11,0.033836454233250754,0.0002714378032737048,0.04673858982516376,0.422382592455237,5.441284917169821e-07
2022-12-12,0.03428758456511053,0.00028582215100574385,0.04696215356546556,0.41706498754933174,5.611909997494673e-07
2022-12-13,0.033239726077844874,0.0016024368486081014,0.0449869082035295,0.3964487120936665,5.924273799357202e-07
2022-12-14,0.032926049680575595,0.002241221134539554,0.04460421341083478,0.4123138519683478,9.506073154629403e-07
2022-12-15,0.03236953853215532,0.003858576043045491,0.0439873140908993,0.438726045678381,8.425467246365617e-07
2022-12-16,0.03287960130773343,0.002940080965471156,0.04243584928051928,0.40655974845005477,1.0281759908123462e-06
2022-12-17,0.03287960130773343,0.002940080965471156,0.04243584928051928,0.40655974845005477,1.0281759908123462e-06
2022-12-18,0.03287960130773343,0.002940080965471156,0.04243584928051928,0.40655974845005477,1.0281759908123462e-06
2022-12-19,0.03393549591979851,0.0019961163941583943,0.04182536543186472,0.40047282670778817,6.309008495350928e-07
2022-12-20,0.03542589382969771,-0.00046392401655723524,0.040332651384439824,0.3632778871460619,6.882949360751981e-07
2022-12-21,0.03544922456525166,-0.0004434392766194932,0.03924791498709738,0.3499451926733397,9.413626915973567e-07
2022-12-22,0.03539714667783018,-0.0016945183370150252,0.04247508378366573,0.3462666934462214,8.44814660062752e-07
2022-12-23,0.03617960088728614,-0.0023956369151213,0.04155105464246081,0.35073558505153596,1.082820578588575e-06
2022-12-24,0.03617960088728614,-0.0023956369151213,0.04155105464246081,0.35073558505153596,1.082820578588575e-06
2022-12-25,0.03617960088728614,-0.0023956369151213,0.04155105464246081,0.35073558505153596,1.082820578588575e-06
2022-12-26,0.03617960088728614,-0.0023956369151213,0.04155105464246081,0.35073558505153596,1.082820578588575e-06
2022-12-27,0.03725703401602393,-0.003116237995983167,0.04165563106954199,0.32289515292251897,1.2448912015983433e-06
2022-12-28,0.037874153814550976,-0.004102833643863562,0.04028667935152419,0.2992543230528963,1.3610651394269838e-06
2022-12-29,0.03703763616865718,0.00012246534616205747,0.03596667269577869,0.36463129238268666,1.1310483332047818e-06
2022-12-30,0.037439908820607215,0.0008586321320752543,0.03392494328870093,0.39737714051415346,1.7676651396173378e-06
